,NAME,GEO_ID,total_pop,Hispanic,Whites,Black,Indian,Asian,FemaleBachelors,MaleBachelors,TotalPoverty,TotalVacant,TotalUnit,MedRent,MedHHInc,NoCar,OneCar,TwoCar,ThreeCar,FourMoreCar,TotalHousehold,state,county,tract,tract_id,income_quantile,pctWhite,pctBlack,pctIndian,pctAsian,pctHispanic,pctVacant,pctBachelors,pctPoverty,average_car
1,"Census Tract 361, Queens County, New York",1400000US36081036100,2238,323,73,378,0,323,16,8,290,200,818,1346,47419,264,196,137,21,0,618,36,081,036100,36081036100,Bot,0.03261840929401251,0.16890080428954424,0.0,0.14432529043789097,0.14432529043789097,0.24449877750611246,0.010723860589812333,0.12957998212689903,0.8624595469255664
2,"Census Tract 363, Queens County, New York",1400000US36081036300,1771,115,66,263,0,115,7,9,359,235,732,1441,57802,240,196,44,17,0,497,36,081,036300,36081036300,Mid,0.037267080745341616,0.14850367024280067,0.0,0.06493506493506493,0.06493506493506493,0.32103825136612024,0.009034443817052512,0.20271033314511575,0.6740442655935613
3,"Census Tract 371, Queens County, New York",1400000US36081037100,1335,200,19,309,0,200,0,5,158,191,593,1769,67419,92,190,100,20,0,402,36,081,037100,36081037100,Mid,0.014232209737827715,0.23146067415730337,0.0,0.149812734082397,0.149812734082397,0.3220910623946037,0.003745318352059925,0.11835205992509364,1.1194029850746268
4,"Census Tract 377, Queens County, New York",1400000US36081037700,3620,152,17,191,0,152,11,11,439,128,903,1647,71728,448,222,81,24,0,775,36,081,037700,36081037700,Mid,0.004696132596685083,0.05276243093922652,0.0,0.041988950276243095,0.041988950276243095,0.14174972314507198,0.0060773480662983425,0.1212707182320442,0.5883870967741935
5,"Census Tract 379, Queens County, New York",1400000US36081037900,6851,535,63,271,0,535,45,0,1115,40,1423,1551,72799,737,455,174,10,7,1383,36,081,037900,36081037900,Mid,0.00919573784848927,0.039556269157787184,0.0,0.07809078966574223,0.07809078966574223,0.028109627547434995,0.006568384177492337,0.1627499635089768,0.6225596529284165
6,"Census Tract 413, Queens County, New York",1400000US36081041300,4696,957,70,0,0,957,26,11,1245,25,1026,1616,55046,566,322,103,10,0,1001,36,081,041300,36081041300,Mid,0.014906303236797274,0.0,0.0,0.20379045996592846,0.20379045996592846,0.024366471734892786,0.007879045996592844,0.2651192504258944,0.5574425574425574
7,"Census Tract 200, Bronx County, New York",1400000US36005020000,4711,1102,130,442,0,1102,18,35,1190,129,1598,1156,40184,967,476,19,7,0,1469,36,005,020000,36005020000,Bot,0.02759499044788792,0.09382296752281893,0.0,0.233920611335173,0.233920611335173,0.08072590738423029,0.011250265336446614,0.2526002971768202,0.3641933287950987
8,"Census Tract 205.01, Bronx County, New York",1400000US36005020501,6976,55,73,1837,0,55,0,16,3124,54,2912,679,17601,2174,591,93,0,0,2858,36,005,020501,36005020501,Bot,0.010464449541284403,0.26333142201834864,0.0,0.007884174311926605,0.007884174311926605,0.018543956043956044,0.0022935779816513763,0.4478211009174312,0.27186843946815953
9,"Census Tract 205.02, Bronx County, New York",1400000US36005020502,2160,3,36,571,0,3,16,0,753,49,975,804,18919,603,271,38,14,0,926,36,005,020502,36005020502,Bot,0.016666666666666666,0.26435185185185184,0.0,0.001388888888888889,0.001388888888888889,0.050256410256410255,0.007407407407407408,0.3486111111111111,0.4200863930885529
10,"Census Tract 209, Bronx County, New York",1400000US36005020900,4287,11,164,1612,0,11,30,9,1435,67,1799,969,31190,1385,279,36,32,0,1732,36,005,020900,36005020900,Bot,0.038255190109633776,0.37602052717518075,0.0,0.0025658968975973873,0.0025658968975973873,0.03724291272929405,0.009097270818754374,0.33473291345929557,0.25808314087759815
11,"Census Tract 210.01, Bronx County, New York",1400000US36005021001,8930,786,195,4507,63,786,31,70,1390,219,4060,1240,54076,2644,1034,132,31,0,3841,36,005,021001,36005021001,Mid,0.021836506159014557,0.5047032474804032,0.007054871220604704,0.08801791713325868,0.08801791713325868,0.05394088669950739,0.011310190369540873,0.15565509518477044,0.3621452746680552
