,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_perct_20_19,high_low_perct_21_20
0,0.512048193,85,0.487951807,81,36005000200,0.450980392,46,0.549019608,56,0.457142857,48,0.542857143,57,-0.458823529,0.043478261,-0.446428571,0.017857143,4,-10,-9,-0.012394958,0.025621118
1,0.574833174,603,0.425166826,446,36005000400,0.61829653,392,0.38170347,242,0.561371841,311,0.438628159,243,-0.349917081,-0.206632653,-0.842975207,0.004132231,157,150,68,0.493058125,-0.210764884
2,0.648648649,48,0.351351351,26,36005001600,0.666666667,44,0.333333333,22,0.675675676,25,0.324324324,12,-0.083333333,-0.431818182,-0.181818182,-0.454545455,22,22,13,0.098484848,0.022727273
3,0.583969466,306,0.416030534,218,36005001900,0.520833333,250,0.479166667,230,0.616438356,135,0.383561644,84,-0.183006536,-0.46,0.052173913,-0.634782609,88,20,51,-0.235180449,0.174782609
4,0.744845361,289,0.255154639,99,36005002300,0.6375,306,0.3625,174,0.643274854,110,0.356725146,61,0.058823529,-0.640522876,0.431034483,-0.649425287,190,132,49,-0.372210953,0.008902412
5,0.684563758,918,0.315436242,423,36005002400,0.721473495,803,0.278526505,310,0.615279673,451,0.384720327,282,-0.125272331,-0.438356164,-0.364516129,-0.090322581,495,493,169,0.239243798,-0.348033584
6,0.8,28,0.2,7,36005002500,1,8,0,0,1,11,0,0,-0.714285714,0.375,#NAME?,,21,8,11,inf,
7,0.561383929,503,0.438616071,393,36005002701,0.517492711,355,0.482507289,331,0.641558442,247,0.358441558,138,-0.294234592,-0.304225352,-0.187311178,-0.583081571,110,24,109,-0.106923414,0.278856219
8,0.594088611,9869,0.405911389,6743,36005003900,0.559875583,3600,0.440124417,2830,0.756666253,6101,0.243333747,1962,-0.6352214,0.694722222,-1.382685512,-0.306713781,3126,770,4139,0.747464112,1.001436003
9,0.67961165,210,0.32038835,99,36005004001,0.698170732,229,0.301829268,99,0.566666667,68,0.433333333,52,0.09047619,-0.703056769,0,-0.474747475,111,130,16,0.09047619,-0.228309294
