tract_id,mar_19,mar_20,mar_21
36005000200,0,0,0
36005000400,0,0,0
36005001600,0,0,0
36005001900,0,0,0
36005002300,0,0,0
36005002400,0,0,0
36005002500,69,42,32
36005002701,0,0,0
36005003900,257,234,61
36005004001,0,0,0
36005004100,0,0,0
36005004200,312,229,0
36005004300,263,221,155
36005004400,810,552,527
36005004600,720,685,322
36005005002,0,0,0
36005005100,3105,1254,155
36005005200,0,0,0
36005005600,0,0,0
36005005902,0,0,0
36005006100,0,0,0
36005006200,0,0,0
36005006300,3947,4242,4001
36005006500,15,10,4
36005006700,0,0,0
36005006800,0,0,0
36005006900,851,675,421
36005007100,21,19,19
36005007200,0,0,0
36005007300,0,0,0
36005007500,0,0,0
36005007600,0,0,0
36005007700,0,0,0
36005007800,0,0,0
36005007900,657,509,582
36005008300,0,0,0
36005008700,0,0,0
36005009000,64,85,65
36005009200,0,0,0
36005009300,330,722,403
36005009600,0,0,0
36005011000,0,0,0
36005011502,530,245,137
36005011700,9900,9596,6608
36005011800,0,0,0
36005011900,0,0,0
36005012300,0,0,0
36005012500,0,0,0
36005012701,0,0,0
36005012901,0,0,0
36005013100,0,0,0
36005013200,379,257,184
36005013500,0,0,0
36005013800,150,140,147
36005014100,0,0,0
36005014500,0,0,0
36005014701,0,0,0
36005014702,0,0,0
36005014900,0,0,0
36005015200,0,0,0
36005015300,0,0,0
36005015700,0,0,0
36005015900,13,24,9
36005016100,2359,1700,945
36005016300,0,0,0
36005016500,0,0,0
36005016600,0,0,0
36005016700,0,0,0
36005016900,0,0,0
36005017100,0,0,0
36005017300,758,560,282
36005017500,0,0,0
36005017702,0,0,0
36005017902,0,0,0
36005018102,0,0,0
36005018400,1133,1395,811
36005018500,0,0,0
36005018900,0,0,0
36005019300,0,0,0
36005019500,0,0,0
36005019700,1356,892,527
36005019900,274,249,68
36005020000,0,0,0
36005020100,1311,733,522
36005020200,0,0,0
36005020400,0,0,0
36005020501,0,0,0
36005020502,0,0,0
36005020601,0,0,0
36005020900,0,0,0
36005021001,0,0,0
36005021002,0,0,0
36005021100,0,0,0
36005021302,0,0,0
36005021501,0,0,0
36005021502,0,0,0
36005021601,584,628,310
36005021602,0,0,0
36005021800,0,0,0
36005021900,0,0,0
36005022000,0,0,0
36005022200,0,0,0
36005022403,0,0,0
36005022500,2,4,1
36005022701,0,0,0
36005022702,0,0,0
36005022901,0,0,0
36005022902,0,0,0
36005023100,0,0,0
36005023200,20,67,61
36005023301,0,0,0
36005023600,0,0,0
36005023900,0,0,0
36005024100,0,0,0
36005024300,0,0,0
36005024501,0,0,0
36005024700,0,0,0
36005024800,0,0,0
36005024900,0,0,0
36005025100,263,141,57
36005025600,347,262,253
36005026400,0,0,0
36005026500,0,0,0
36005026602,0,0,0
36005026900,222,149,83
36005027300,345,274,256
36005027401,0,0,0
36005027402,0,0,0
36005027600,0,0,0
36005027700,0,0,0
36005027900,0,0,0
36005028100,0,0,0
36005028300,603,497,401
36005028400,4343,3084,2523
36005028500,0,0,0
36005028800,0,0,0
36005028900,12,16,8
36005029301,0,0,0
36005029302,0,0,0
36005029500,0,0,0
36005029700,0,0,0
36005030000,0,0,0
36005030200,166,0,0
36005030701,0,0,0
36005030900,0,0,0
36005031000,0,0,0
36005032600,4739,1257,2027
36005033000,688,441,349
36005033400,5060,3437,2780
36005033500,0,0,0
36005033600,0,0,0
36005033700,0,0,0
36005034000,45,33,19
36005034300,63,36,62
36005034800,0,0,0
36005035600,366,310,293
36005035800,152,108,116
36005036100,0,0,0
36005036300,0,0,0
36005036501,1115,0,0
36005036502,0,0,0
36005036700,0,0,0
36005036901,0,0,0
36005036902,0,0,0
36005037100,1048,646,305
36005037300,0,0,0
36005037400,1087,415,272
36005037504,0,0,0
36005037800,0,0,0
