,Unnamed: 0,placekey,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visitor_home_cbgs,poi_cbg,visitor_daytime_cbgs,distance_from_home,bucketed_dwell_times,related_same_day_brand,device_type,median_dwell,bucketed_dwell_times.1,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type,pop_up_col,naics_2dig,naics_3dig,category,trac_id,tract_id
23577,23579,zzz-222@627-wh4-f75,2021-03-01 00:00:00-05:00,2021-04-01T00:00:00-04:00,53,25,"[1,1,0,2,0,2,1,3,2,2,3,5,0,1,1,2,2,2,0,2,1,3,4,1,2,3,1,0,1,2,3]","{""360810038001"":4,""360470864001"":4,""340170140002"":4,""360050165001"":4}",3.60471E+11,"{""360470504002"":4,""360470256002"":4}",6804,"{""<5"":1,""5-10"":22,""11-20"":7,""21-60"":14,""61-120"":8,""121-240"":0,"">240"":1}","{""QuickChek"":28,""Starbucks"":13,""Lowe's"":4,""7-Eleven"":4,""Dunkin'"":4,""Trader Joe's"":2,""Target"":2,""Spencer's"":2,""TD Ameritrade"":2,""KFC"":2,""Bolla Market"":2,""Wendy's"":2,""Wawa"":2,""Stop & Shop"":2,""Costco"":2,""Panera Bread"":2,""Extra Space Storage"":2,""Burger King"":2,""Valero Energy"":2,""McDonald's"":2}","{""android"":13,""ios"":11}",17,"{""<5"":1,""5-10"":22,""11-20"":7,""21-60"":14,""61-120"":8,""121-240"":0,"">240"":1}",,Sitting Area Seeley,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.65266,-73.976864,Sitting Area Seeley,New York,NY,11218,US,,,,,,7/1/2019,POLYGON,name: Sitting Area Seeley；type:Nature Parks and Other Similar Institutions；stay time: 17.0；visit number: 53,71,712,Recreation,3.60471E+11,36047050202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"{""360810038001"":4,""360470864001"":4,""340170140002"":4,""360050165001"":4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
