tract_id,raw_visit_counts
36005000200,451
36005000400,1970
36005001600,119
36005001900,1369
36005002300,1309
36005002400,4568
36005002500,42
36005002701,2785
36005003900,29442
36005004001,1037
36005004100,667
36005004200,11834
36005004300,986
36005004400,552
36005004600,691
36005005002,77
36005005100,3515
36005005200,516
36005005600,1056
36005005902,412
36005006100,89
36005006200,1579
36005006300,8833
36005006500,3210
36005006700,1486
36005006800,6227
36005006900,732
36005007100,19
36005007200,2402
36005007300,6486
36005007500,900
36005007600,200
36005007700,811
36005007800,30
36005007900,2835
36005008300,326
36005008700,2798
36005009000,3458
36005009200,1040
36005009300,2264
36005009600,434
36005011000,2218
36005011502,1681
36005011700,9787
36005011800,242
36005011900,2787
36005012300,899
36005012500,53
36005012701,667
36005012901,718
36005013100,1709
36005013200,257
36005013500,1389
36005013800,6714
36005014100,2687
36005014500,59753
36005014701,626
36005014702,1802
36005014900,685
36005015200,564
36005015300,396
36005015700,1127
36005015900,24
36005016100,2947
36005016300,3022
36005016500,1597
36005016600,274
36005016700,177
36005016900,985
36005017100,941
36005017300,1299
36005017500,1040
36005017702,270
36005017902,1421
36005018102,1379
36005018301,3
36005018400,1403
36005018500,3397
36005018900,749
36005019300,893
36005019500,1477
36005019700,895
36005019900,249
36005020000,949
36005020100,3623
36005020200,670
36005020400,312
36005020501,1545
36005020502,655
36005020601,2
36005020900,685
36005021001,4777
36005021002,501
36005021100,282
36005021302,773
36005021501,1298
36005021502,97
36005021601,628
36005021602,1703
36005021800,943
36005021900,1763
36005022000,550
36005022200,1802
36005022403,4187
36005022500,1292
36005022701,899
36005022702,944
36005022901,1214
36005022902,1231
36005023100,267
36005023200,15903
36005023301,29
36005023600,726
36005023900,319
36005024100,1232
36005024300,413
36005024501,729
36005024700,11505
36005024800,438
36005024900,923
36005025100,4180
36005025600,262
36005026400,22
36005026500,48
36005026602,684
36005026900,791
36005027300,429
36005027401,48
36005027402,224
36005027600,6037
36005027700,300
36005027900,426
36005028100,265
36005028300,2137
36005028400,3259
36005028500,341
36005028800,178
36005028900,12818
36005029301,714
36005029302,765
36005029500,522
36005029700,252
36005030000,1001
36005030200,2504
36005030701,307
36005030900,407
36005031000,1592
36005032600,1761
36005033000,478
36005033400,22099
36005033500,1036
36005033600,1638
36005033700,2794
36005034000,33
36005034300,36
36005034800,19535
36005035600,1775
36005035800,494
36005036100,138
36005036300,5362
36005036502,1063
36005036700,198
36005036901,894
36005036902,612
36005037100,3952
36005037300,778
36005037400,415
36005037504,1373
36005037800,1832
36005037900,1308
36005038100,20470
36005038301,278
36005038302,4122
36005038500,977
36005038600,476
36005038700,3791
36005038900,255
36005039000,9
36005039100,553
36005039500,807
36005039700,18669
36005039800,158
36005039901,656
36005039902,273
36005040502,468
36005040600,173
36005040701,119
36005040702,191
36005040900,6140
36005041100,1363
36005041300,28
36005041400,405
36005041500,862
36005041800,22
36005041900,115
36005042000,815
36005042100,1876
36005042400,315
36005042500,4179
36005043100,402
36005043500,476
36005043600,154
36005045600,490
36005045800,1651
36005046000,550
36005046201,5623
36005046202,391
36005048400,6400
36005050400,2389
36005051600,487
36031960498,28
36047000100,694
36047000200,25
36047000301,571
36047000501,527
36047000502,24
36047000700,2431
36047000900,1432
36047001100,4683
36047001300,9804
36047001500,3137
36047001800,3351
36047002100,5104
36047002200,648
36047002300,1869
36047003100,1946
36047003300,1201
36047003400,1401
36047003700,278
36047003900,1188
36047004300,383
36047004500,80
36047004700,533
36047004900,283
36047005300,3218
36047005601,496
36047005900,688
36047006000,84
36047006300,2229
36047006400,4
36047006500,170
36047006700,118
36047006900,253
36047007000,22878
36047007200,230
36047007400,529
36047007500,188
36047007600,127
36047007700,281
36047008000,1
36047008200,543
36047008400,821
36047009200,322
36047009600,1181
36047010200,27
36047010600,4
36047011200,122
36047011400,252
36047011600,6028
36047011700,719
36047011900,715
36047012000,1138
36047012100,241
36047012801,1401
36047012901,111
36047013100,22
36047013200,1747
36047013300,117
36047013400,84
36047013500,1943
36047013600,111
36047013700,22
36047013800,65
36047013900,68
36047014100,275
36047014200,1001
36047014300,259
36047014700,649
36047014800,1184
36047014900,631
36047015000,41
36047015200,1342
36047015300,1667
36047015400,5165
36047015500,119
36047015900,9607
36047016000,461
36047016200,470
36047016400,840
36047016700,2
36047016900,214
36047017000,21
36047017400,955
36047017700,31354
36047017900,452
36047019100,7723
36047019300,1493
36047019500,80
36047019700,781
36047020700,73
36047021000,6
36047021100,1645
36047021300,968
36047021400,7
36047021500,174
36047021900,22
36047022000,102
36047022100,400
36047022200,4
36047022600,35
36047022700,571
36047023200,174
36047023300,224
36047023400,144
36047023600,300
36047024100,234
36047024200,158
36047024300,151
36047024400,12
36047024500,510
36047024800,505
36047024900,488
36047025000,1250
36047025300,254
36047025400,1
36047025600,413
36047025700,828
36047025901,173
36047026000,291
36047026100,264
36047026200,989
36047026300,463
36047026700,37
36047027100,1067
36047027300,199
36047027500,180
36047027600,178
36047027800,919
36047027900,407
36047028100,624
36047028300,856
36047028700,103
36047028800,27
36047028900,960
36047029300,849
36047029600,124
36047029700,1032
36047030000,1975
36047030100,352
36047030200,301
36047030300,1440
36047030400,6181
36047030500,138
36047030600,295
36047030700,385
36047030800,663
36047031400,2799
36047031500,230
36047031701,233
36047031900,3645
36047032100,10401
36047032600,823
36047032800,523
36047032900,85
36047033600,561
36047033900,258
36047034000,749
36047034200,1436
36047034300,493
36047034500,3
36047034900,4
36047035100,2344
36047035200,1625
36047035300,489
36047035400,1320
36047035700,2096
36047036100,1899
36047036200,54
36047036300,1286
36047036400,460
36047036501,124
36047036700,6732
36047036900,722
36047037000,1130
36047037100,1358
36047037402,1720
36047037500,65
36047038100,81
36047038200,911
36047038300,273
36047038500,139
36047038600,792
36047038800,1080
36047038900,1350
36047039300,474
36047039500,470
36047039700,1125
36047039800,26
36047040100,113
36047040200,1346
36047040300,1
