tract_id,raw_visit_counts
36005000200,835
36005000400,3986
36005001600,337
36005001900,1555
36005002300,1813
36005002400,5984
36005002500,69
36005002701,3618
36005003900,46986
36005004001,1192
36005004100,1107
36005004200,8019
36005004300,1557
36005004400,810
36005004600,746
36005005002,82
36005005100,7789
36005005200,803
36005005600,1606
36005005902,3505
36005006100,185
36005006200,2260
36005006300,16090
36005006500,3497
36005006700,7571
36005006800,1613
36005006900,919
36005007100,21
36005007200,2859
36005007300,10886
36005007500,1302
36005007600,344
36005007700,1215
36005007800,20
36005007900,4463
36005008300,567
36005008700,3757
36005009000,2426
36005009200,1081
36005009300,2325
36005009600,424
36005011000,3271
36005011502,2583
36005011700,10019
36005011800,262
36005011900,3860
36005012300,949
36005012500,64
36005012701,13015
36005012901,1257
36005013100,2833
36005013200,379
36005013500,1875
36005013800,1679
36005014100,3342
36005014500,71340
36005014701,958
36005014702,2270
36005014900,867
36005015200,806
36005015300,468
36005015700,1727
36005015900,13
36005016100,4852
36005016300,4459
36005016500,2275
36005016600,491
36005016700,210
36005016900,1804
36005017100,613
36005017300,1291
36005017500,1637
36005017702,372
36005017902,1989
36005018102,1848
36005018301,11
36005018400,1189
36005018500,4146
36005018900,986
36005019300,1596
36005019500,2177
36005019700,1362
36005019900,274
36005020000,1125
36005020100,6402
36005020200,640
36005020400,348
36005020501,3075
36005020502,989
36005020601,14
36005020900,1497
36005021001,3467
36005021002,696
36005021100,618
36005021302,1347
36005021501,1291
36005021502,228
36005021601,584
36005021602,2036
36005021800,1409
36005021900,2608
36005022000,690
36005022200,2804
36005022403,6279
36005022500,1223
36005022701,1271
36005022702,1585
36005022901,2151
36005022902,2047
36005023100,343
36005023200,11660
36005023301,79
36005023600,1116
36005023900,459
36005024100,2174
36005024300,792
36005024501,1279
36005024700,25018
36005024800,404
36005024900,1878
36005025100,16139
36005025600,347
36005026400,44
36005026500,50
36005026602,1141
36005026900,1357
36005027300,576
36005027401,54
36005027402,331
36005027600,8654
36005027700,341
36005027900,520
36005028100,423
36005028300,2915
36005028400,4616
36005028500,484
36005028800,279
36005028900,15424
36005029301,751
36005029302,1690
36005029500,793
36005029700,189
36005030000,1590
36005030200,3642
36005030701,343
36005030900,548
36005031000,2294
36005032600,5727
36005033000,716
36005033400,43804
36005033500,1596
36005033600,2814
36005033700,2751
36005034000,45
36005034300,63
36005034800,10069
36005035600,4063
36005035800,616
36005036100,41
36005036300,3949
36005036501,1115
36005036502,1370
36005036700,359
36005036901,904
36005036902,835
36005037100,14078
36005037300,1526
36005037400,1087
36005037504,1623
36005037800,2800
36005037900,6826
36005038000,1
36005038100,10911
36005038301,686
36005038302,2880
36005038500,1178
36005038600,658
36005038700,5284
36005038900,389
36005039000,19
36005039100,827
36005039500,1290
36005039700,40557
36005039800,208
36005039901,1007
36005039902,481
36005040502,309
36005040600,251
36005040701,70
36005040702,141
36005040900,12208
36005041100,2518
36005041300,53
36005041400,642
36005041500,1121
36005041800,58
36005041900,218
36005042000,1010
36005042100,2166
36005042400,385
36005042500,5729
36005043100,958
36005043500,590
36005043600,123
36005045600,875
36005045800,2521
36005046000,575
36005046201,23884
36005046202,798
36005048400,3899
36005050400,3081
36005051600,505
36031960498,87
36047000100,1220
36047000200,51
36047000301,926
36047000501,723
36047000502,3
36047000700,3794
36047000900,2851
36047001100,8576
36047001300,16281
36047001500,7131
36047001800,3229
36047002100,9090
36047002200,769
36047002300,2809
36047003100,2795
36047003300,2492
36047003400,1433
36047003700,862
36047003900,2735
36047004300,690
36047004500,110
36047004700,696
36047004900,480
36047005300,4454
36047005601,430
36047005800,1
36047005900,908
36047006000,162
36047006300,2692
36047006500,243
36047006600,173
36047006700,325
36047006900,372
36047007000,13523
36047007200,210
36047007400,719
36047007500,201
36047007600,198
36047007700,374
36047008000,4
36047008200,866
36047008400,1198
36047009200,588
36047009600,1325
36047010200,76
36047010600,10
36047011200,133
36047011400,359
36047011600,1916
36047011700,826
36047011900,854
36047012000,1973
36047012100,286
36047012801,1592
