,tract_id,mar_19,mar_20,mar_21,20_19,21_20,nor_20_19,nor_21_20
0,36005000200,835,451,493,-384,42,-0.4598802395209581,0.09312638580931264
1,36005000400,3986,1970,2008,-2016,38,-0.5057701956848971,0.019289340101522844
2,36005001600,337,119,81,-218,-38,-0.6468842729970327,-0.31932773109243695
3,36005001900,1555,1369,766,-186,-603,-0.11961414790996784,-0.4404674945215486
4,36005002300,1813,1309,700,-504,-609,-0.277992277992278,-0.46524064171123
5,36005002400,5984,4568,2986,-1416,-1582,-0.23663101604278075,-0.34632224168126097
6,36005002500,69,42,32,-27,-10,-0.391304347826087,-0.23809523809523808
7,36005002701,3618,2785,1472,-833,-1313,-0.23023770038695412,-0.47145421903052065
8,36005003900,46986,29442,63442,-17544,34000,-0.37338781764781,1.1548128523877454
9,36005004001,1192,1037,399,-155,-638,-0.13003355704697986,-0.6152362584378014
10,36005004100,1107,667,507,-440,-160,-0.3974706413730804,-0.239880059970015
11,36005004200,8019,11834,1423,3815,-10411,0.475745105374735,-0.8797532533378402
12,36005004300,1557,986,642,-571,-344,-0.36673089274245346,-0.3488843813387424
13,36005004400,810,552,527,-258,-25,-0.31851851851851853,-0.04528985507246377
14,36005004600,746,691,327,-55,-364,-0.07372654155495978,-0.5267727930535456
15,36005005002,82,77,6,-5,-71,-0.06097560975609756,-0.922077922077922
16,36005005100,7789,3515,1849,-4274,-1666,-0.5487225574528181,-0.4739687055476529
17,36005005200,803,516,502,-287,-14,-0.3574097135740971,-0.027131782945736434
18,36005005600,1606,1056,361,-550,-695,-0.3424657534246575,-0.6581439393939394
19,36005005902,3505,412,164,-3093,-248,-0.882453637660485,-0.6019417475728155
20,36005006100,185,89,22,-96,-67,-0.518918918918919,-0.7528089887640449
21,36005006200,2260,1579,820,-681,-759,-0.3013274336283186,-0.48068397720075995
22,36005006300,16090,8833,6902,-7257,-1931,-0.45102548166563083,-0.21861202309521113
23,36005006500,3497,3210,2754,-287,-456,-0.08207034601086646,-0.14205607476635515
24,36005006700,7571,1486,751,-6085,-735,-0.8037247391361775,-0.4946164199192463
25,36005006800,1613,6227,1199,4614,-5028,2.86050836949783,-0.8074514212301269
26,36005006900,919,732,463,-187,-269,-0.20348204570184983,-0.3674863387978142
27,36005007100,21,19,19,-2,0,-0.09523809523809523,0.0
28,36005007200,2859,2402,1248,-457,-1154,-0.15984610003497726,-0.4804329725228976
29,36005007300,10886,6486,9034,-4400,2548,-0.40418886643395185,0.39284613012642616
30,36005007500,1302,900,606,-402,-294,-0.3087557603686636,-0.32666666666666666
31,36005007600,344,200,97,-144,-103,-0.4186046511627907,-0.515
32,36005007700,1215,811,376,-404,-435,-0.3325102880658436,-0.5363748458692972
33,36005007800,20,30,15,10,-15,0.5,-0.5
34,36005007900,4463,2835,1635,-1628,-1200,-0.3647770557920681,-0.42328042328042326
35,36005008300,567,326,379,-241,53,-0.42504409171075835,0.16257668711656442
36,36005008700,3757,2798,1704,-959,-1094,-0.2552568538727708,-0.3909935668334525
37,36005009000,2426,3458,1951,1032,-1507,0.4253915910964551,-0.435801041064199
