,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,mar_19,mar_20,mar_21
tract_id,,,
36005000200,835.0,451.0,493.0
36005000400,3986.0,1970.0,2008.0
36005001600,337.0,119.0,81.0
36005001900,1555.0,1369.0,766.0
36005002300,1813.0,1309.0,700.0
36005002400,5984.0,4568.0,2986.0
36005002500,69.0,42.0,32.0
36005002701,3618.0,2785.0,1472.0
36005003900,46986.0,29442.0,63442.0
36005004001,1192.0,1037.0,399.0
36005004100,1107.0,667.0,507.0
36005004200,8019.0,11834.0,1423.0
36005004300,1557.0,986.0,642.0
36005004400,810.0,552.0,527.0
36005004600,746.0,691.0,327.0
36005005002,82.0,77.0,6.0
36005005100,7789.0,3515.0,1849.0
36005005200,803.0,516.0,502.0
36005005600,1606.0,1056.0,361.0
36005005902,3505.0,412.0,164.0
36005006100,185.0,89.0,22.0
36005006200,2260.0,1579.0,820.0
36005006300,16090.0,8833.0,6902.0
36005006500,3497.0,3210.0,2754.0
36005006700,7571.0,1486.0,751.0
36005006800,1613.0,6227.0,1199.0
36005006900,919.0,732.0,463.0
36005007100,21.0,19.0,19.0
36005007200,2859.0,2402.0,1248.0
36005007300,10886.0,6486.0,9034.0
36005007500,1302.0,900.0,606.0
36005007600,344.0,200.0,97.0
36005007700,1215.0,811.0,376.0
36005007800,20.0,30.0,15.0
36005007900,4463.0,2835.0,1635.0
36005008300,567.0,326.0,379.0
36005008700,3757.0,2798.0,1704.0
36005009000,2426.0,3458.0,1951.0
36005009200,1081.0,1040.0,634.0
36005009300,2325.0,2264.0,1477.0
36005009600,424.0,434.0,309.0
36005011000,3271.0,2218.0,1778.0
36005011502,2583.0,1681.0,1040.0
36005011700,10019.0,9787.0,6863.0
36005011800,262.0,242.0,397.0
36005011900,3860.0,2787.0,1990.0
36005012300,949.0,899.0,485.0
36005012500,64.0,53.0,12.0
36005012701,13015.0,667.0,200.0
36005012901,1257.0,718.0,286.0
36005013100,2833.0,1709.0,979.0
36005013200,379.0,257.0,184.0
36005013500,1875.0,1389.0,786.0
36005013800,1679.0,6714.0,637.0
36005014100,3342.0,2687.0,1800.0
36005014500,71340.0,59753.0,88694.0
36005014701,958.0,626.0,307.0
36005014702,2270.0,1802.0,984.0
36005014900,867.0,685.0,350.0
36005015200,806.0,564.0,307.0
36005015300,468.0,396.0,156.0
36005015700,1727.0,1127.0,898.0
36005015900,13.0,24.0,9.0
36005016100,4852.0,2947.0,1758.0
36005016300,4459.0,3022.0,1892.0
36005016500,2275.0,1597.0,1125.0
36005016600,491.0,274.0,291.0
36005016700,210.0,177.0,82.0
36005016900,1804.0,985.0,521.0
36005017100,613.0,941.0,511.0
36005017300,1291.0,1299.0,661.0
36005017500,1637.0,1040.0,530.0
36005017702,372.0,270.0,132.0
36005017902,1989.0,1421.0,679.0
36005018102,1848.0,1379.0,184.0
36005018301,11.0,3.0,4.0
36005018400,1189.0,1403.0,1000.0
36005018500,4146.0,3397.0,1850.0
36005018900,986.0,749.0,385.0
36005019300,1596.0,893.0,493.0
36005019500,2177.0,1477.0,1094.0
36005019700,1362.0,895.0,529.0
36005019900,274.0,249.0,68.0
36005020000,1125.0,949.0,617.0
